text,start,end,rms,pitch,volume_v2_raw,pitch_v2_raw,volume_v2_enhanced,pitch_v2_enhanced,volume__reproduced,pitch__reproduced
You,76.98402555910536,77.0988817891373,0.0038829026743769,51.05704498291016,0.0045511196,495.6368703901806,0.0009064218,711.4107349936478,0.0045511196,39.5583610534668
can,77.45367412140575,77.75367412140575,0.0043613212183117,53.82040023803711,0.0045739794,582.6314990569285,0.0010155515,765.7171044811022,0.0045739794,41.395145416259766
not,77.45367412140575,77.75367412140575,0.0043613212183117,53.82040023803711,0.0045739794,582.6314990569285,0.0010155515,765.7171044811022,0.0045739794,41.395145416259766
pass,78.05111821086263,78.44600638977624,0.0046693906188011,55.93988800048828,0.0038035426,691.00483154178,0.0010625158,725.2194952970746,0.0038035426,35.2263069152832
Gandalf,79.19169329073482,79.77172523961643,0.0055334870703518,61.40853118896485,0.00411314,781.6988852724435,0.0012182194,689.791720995166,0.00411314,45.89198303222656
I,85.5814696485623,85.68578274760377,0.0040705087594687,46.73208999633789,0.0067580044,778.6215708747864,0.07814548,163.89827402489618,0.0067580044,38.13892364501953
am,85.69217252396176,85.79217252396175,0.0043533891439437,40.67087173461914,0.005954893,704.8228857439641,0.08989813,228.24411304106746,0.005954893,18.75020980834961
the,85.79217252396175,85.94217252396176,0.0044353520497679,33.78569030761719,0.0062475414,631.3000358091253,0.042762008,165.7207243385729,0.0062475414,57.874202728271484
servant,85.94217252396176,86.29217252396175,0.0044669741764664,36.018882751464844,0.005215741,605.4458010597051,0.0042493376,2535.9681545068693,0.005215741,43.59613800048828
secret,86.84025559105433,87.24249201277945,0.0042352708987891,61.18032455444336,0.00677765,285.6127651325872,0.00089793495,647.4030770522924,0.00677765,48.47182083129883
fire,87.25527156549514,87.45527156549514,0.0050221546553075,52.6939582824707,0.006189037,257.8889699554688,0.0009888879,587.639726989545,0.006189037,58.33753204345703
wielder,87.9776357827476,88.5161341853034,0.0055093243718147,51.12482833862305,0.0038810805,418.9970208736136,0.13636698,238.3349172870738,0.0038810805,62.99695587158203
of,88.5161341853034,88.6161341853034,0.0059785242192447,51.94351959228516,0.0036988058,510.0528577688148,0.013458612,163.78450379135725,0.0036988058,72.78291320800781
the,88.6161341853034,88.6830670926517,0.0061707510612905,56.18594741821289,0.002872529,547.3754897052672,0.0010785854,308.8818555654915,0.002872529,80.59934997558594
flame,88.6830670926517,89.28130990415318,0.006258385721594,57.05404281616211,0.003823004,430.0991001251398,0.067351796,285.98135066274756,0.003823004,69.2234878540039
of,89.38354632587833,89.48354632587832,0.0061772624030709,62.69045639038086,0.005001436,270.3087960240518,0.0012156849,431.9346599906061,0.005001436,56.482696533203125
Arnor,89.49313099041508,90.15207667731585,0.0059325043112039,64.57072448730469,0.005879287,314.5945562711491,0.047205947,195.4195071449099,0.005879287,60.41415023803711
Go,98.68690095846644,98.91469648562304,0.0077479272149503,59.928035736083984,0.048835482,130.8991374946122,0.029404165,716.678166329321,0.048835482,18.662172317504883
back,99.07444089456862,99.4373801916932,0.0063648712821304,39.477787017822266,0.102454014,220.06604507743472,0.011866625,1012.6559284304759,0.102454014,44.375518798828125
to,99.53035143769968,99.63035143769967,0.0053935698233544,31.874963760375977,0.030933196,273.9202053842055,0.008854944,492.50274070502866,0.030933196,57.451515197753906
the,99.63035143769967,99.78035143769968,0.0051708002574741,32.7216682434082,0.045426074,219.09339573692827,0.009578652,905.4789273683944,0.045426074,40.54804992675781
shadow,99.78035143769968,100.39233226837044,0.0055110771209001,37.00689315795898,0.0908973,318.18361840124027,0.0104707545,1013.8734210965681,0.0908973,52.649658203125
The,102.46006389776358,102.61006389776358,0.0088933994993567,58.94380569458008,0.033659972,298.10139654421533,0.0009972213,341.4765357806832,0.033659972,20.655311584472656
Dark,102.67076677316288,103.06884984025548,0.0104312626644968,56.96836471557617,0.037891913,673.0469838838266,0.03834248,856.6682624655332,0.037891913,27.753393173217773
fire,103.18210862619809,103.58019169329064,0.015083179809153,22.123327255249023,0.046240944,684.5692174700337,0.047462028,856.6959389769557,0.046240944,2.6417791843414307
will,103.58019169329064,103.78019169329065,0.0133360875770449,30.43987846374512,0.037290026,157.39808176075476,0.0025251403,225.8604525328879,0.037290026,11.037506103515625
not,103.78019169329065,104.0100638977634,0.0147145260125398,30.71284294128418,0.02771219,555.0601586060213,0.044038594,983.4501029545963,0.02771219,25.7197208404541
avail,104.0100638977634,104.4293929712458,0.0151276085525751,55.297550201416016,0.03427843,556.265001695714,0.059924502,691.5746291783271,0.03427843,14.553570747375488
you,104.52396166134186,104.89329073482428,0.0137968529015779,51.9921760559082,0.02186816,487.52384025167254,0.046868805,436.8194984306362,0.02186816,26.9156436920166
flame,105.12140575079871,105.4576677316294,0.0358584448695182,44.76228332519531,0.03270314,308.1113154491302,0.14907387,679.6079699723506,0.03270314,17.2263240814209
of,105.4576677316294,105.608785942492,0.0276271365582942,46.23801040649414,0.11820225,126.10816559926342,0.107029095,608.4784128258118,0.11820225,6.418647289276123
Udun,105.608785942492,106.08354632587864,0.0322583727538585,41.22642517089844,0.102597244,97.74715450208876,0.115699776,574.5415643126463,0.102597244,6.691864490509033
You,110.15015974440894,111.16597444089447,0.0626551210880279,33.0588493347168,0.05002513,451.86196588634846,0.014097336,530.1712294596447,0.05002513,32.440494537353516
